reference,degraded,moslqo
/data/evaluation_short/input/16k/p225_039.wav,/data/evaluation_short/output_ps/16k/p225_039.wav,4.04576527
/data/evaluation_short/input/16k/p225_011.wav,/data/evaluation_short/output_ps/16k/p225_011.wav,3.95659885
/data/evaluation_short/input/16k/p225_005.wav,/data/evaluation_short/output_ps/16k/p225_005.wav,4.14915846
/data/evaluation_short/input/16k/p225_004.wav,/data/evaluation_short/output_ps/16k/p225_004.wav,4.08203438
/data/evaluation_short/input/16k/p225_010.wav,/data/evaluation_short/output_ps/16k/p225_010.wav,3.88128532
/data/evaluation_short/input/16k/p225_038.wav,/data/evaluation_short/output_ps/16k/p225_038.wav,4.09277545
/data/evaluation_short/input/16k/p225_006.wav,/data/evaluation_short/output_ps/16k/p225_006.wav,3.8574625
/data/evaluation_short/input/16k/p225_012.wav,/data/evaluation_short/output_ps/16k/p225_012.wav,4.02731057
/data/evaluation_short/input/16k/p225_013.wav,/data/evaluation_short/output_ps/16k/p225_013.wav,4.014518
/data/evaluation_short/input/16k/p225_007.wav,/data/evaluation_short/output_ps/16k/p225_007.wav,3.86810514
/data/evaluation_short/input/16k/p225_003.wav,/data/evaluation_short/output_ps/16k/p225_003.wav,4.17768467
/data/evaluation_short/input/16k/p225_017.wav,/data/evaluation_short/output_ps/16k/p225_017.wav,3.79802265
/data/evaluation_short/input/16k/p225_016.wav,/data/evaluation_short/output_ps/16k/p225_016.wav,3.93449991
/data/evaluation_short/input/16k/p225_002.wav,/data/evaluation_short/output_ps/16k/p225_002.wav,3.98030201
/data/evaluation_short/input/16k/p225_014.wav,/data/evaluation_short/output_ps/16k/p225_014.wav,4.01684206
/data/evaluation_short/input/16k/p225_028.wav,/data/evaluation_short/output_ps/16k/p225_028.wav,3.87166565
/data/evaluation_short/input/16k/p225_029.wav,/data/evaluation_short/output_ps/16k/p225_029.wav,3.96303717
/data/evaluation_short/input/16k/p225_001.wav,/data/evaluation_short/output_ps/16k/p225_001.wav,4.36080152
/data/evaluation_short/input/16k/p225_072.wav,/data/evaluation_short/output_ps/16k/p225_072.wav,4.35104726
/data/evaluation_short/input/16k/p225_066.wav,/data/evaluation_short/output_ps/16k/p225_066.wav,3.58532238
/data/evaluation_short/input/16k/p225_067.wav,/data/evaluation_short/output_ps/16k/p225_067.wav,3.81985554
/data/evaluation_short/input/16k/p225_073.wav,/data/evaluation_short/output_ps/16k/p225_073.wav,3.71315571
/data/evaluation_short/input/16k/p225_059.wav,/data/evaluation_short/output_ps/16k/p225_059.wav,3.47711206
/data/evaluation_short/input/16k/p225_065.wav,/data/evaluation_short/output_ps/16k/p225_065.wav,4.12920033
/data/evaluation_short/input/16k/p225_071.wav,/data/evaluation_short/output_ps/16k/p225_071.wav,4.19334285
/data/evaluation_short/input/16k/p225_070.wav,/data/evaluation_short/output_ps/16k/p225_070.wav,3.84356055
/data/evaluation_short/input/16k/p225_064.wav,/data/evaluation_short/output_ps/16k/p225_064.wav,3.92874841
/data/evaluation_short/input/16k/p225_058.wav,/data/evaluation_short/output_ps/16k/p225_058.wav,4.14560264
/data/evaluation_short/input/16k/p225_104.wav,/data/evaluation_short/output_ps/16k/p225_104.wav,4.03432513
/data/evaluation_short/input/16k/p225_110.wav,/data/evaluation_short/output_ps/16k/p225_110.wav,3.96682033
/data/evaluation_short/input/16k/p225_060.wav,/data/evaluation_short/output_ps/16k/p225_060.wav,4.26579598
/data/evaluation_short/input/16k/p225_049.wav,/data/evaluation_short/output_ps/16k/p225_049.wav,3.22995578
/data/evaluation_short/input/16k/p225_061.wav,/data/evaluation_short/output_ps/16k/p225_061.wav,4.05128543
/data/evaluation_short/input/16k/p225_103.wav,/data/evaluation_short/output_ps/16k/p225_103.wav,4.22191169
/data/evaluation_short/input/16k/p225_063.wav,/data/evaluation_short/output_ps/16k/p225_063.wav,3.93409617
/data/evaluation_short/input/16k/p225_089.wav,/data/evaluation_short/output_ps/16k/p225_089.wav,4.04257428
/data/evaluation_short/input/16k/p225_062.wav,/data/evaluation_short/output_ps/16k/p225_062.wav,3.97960324
/data/evaluation_short/input/16k/p225_053.wav,/data/evaluation_short/output_ps/16k/p225_053.wav,3.61252982
/data/evaluation_short/input/16k/p225_090.wav,/data/evaluation_short/output_ps/16k/p225_090.wav,3.94509622
/data/evaluation_short/input/16k/p225_084.wav,/data/evaluation_short/output_ps/16k/p225_084.wav,3.99323566
/data/evaluation_short/input/16k/p225_046.wav,/data/evaluation_short/output_ps/16k/p225_046.wav,3.95268593
/data/evaluation_short/input/16k/p225_052.wav,/data/evaluation_short/output_ps/16k/p225_052.wav,3.740389
/data/evaluation_short/input/16k/p225_044.wav,/data/evaluation_short/output_ps/16k/p225_044.wav,3.86547565
/data/evaluation_short/input/16k/p225_092.wav,/data/evaluation_short/output_ps/16k/p225_092.wav,3.5876842
/data/evaluation_short/input/16k/p225_086.wav,/data/evaluation_short/output_ps/16k/p225_086.wav,3.82373425
/data/evaluation_short/input/16k/p225_051.wav,/data/evaluation_short/output_ps/16k/p225_051.wav,3.6223952
/data/evaluation_short/input/16k/p225_045.wav,/data/evaluation_short/output_ps/16k/p225_045.wav,4.21218476
/data/evaluation_short/input/16k/p225_109.wav,/data/evaluation_short/output_ps/16k/p225_109.wav,3.8680764
/data/evaluation_short/input/16k/p225_082.wav,/data/evaluation_short/output_ps/16k/p225_082.wav,3.68462776
/data/evaluation_short/input/16k/p225_083.wav,/data/evaluation_short/output_ps/16k/p225_083.wav,3.7432136
/data/evaluation_short/input/16k/p225_054.wav,/data/evaluation_short/output_ps/16k/p225_054.wav,3.54854804
/data/evaluation_short/input/16k/p225_040.wav,/data/evaluation_short/output_ps/16k/p225_040.wav,3.98931432
/data/evaluation_short/input/16k/p225_108.wav,/data/evaluation_short/output_ps/16k/p225_108.wav,3.9419863
/data/evaluation_short/input/16k/p225_056.wav,/data/evaluation_short/output_ps/16k/p225_056.wav,4.11104652
